2006-05-07,2006-04-07,2006-05-07,9781455595372,543131
2006-10-11,2006-09-11,2006-09-16,9780718039851,869573
2006-12-16,2006-11-16,2006-11-26,9781418583859,307128
2007-05-06,2007-04-06,2007-04-16,9780307953704,469665
2007-09-17,2007-08-17,2007-08-27,9780830836215,489895
2007-10-23,2007-09-23,2007-10-23,9780830842186,298779
2010-07-16,2010-06-16,2010-06-17,9780785247937,26611
2010-10-03,2010-09-03,2010-09-13,9780061947438,591270
2010-10-29,2010-09-29,2010-10-29,9780310295815,531471
2011-01-17,2010-12-17,2010-12-27,9781435159570,451922
2011-02-10,2011-01-10,2011-01-20,9782378984113,137909
2012-09-28,2012-08-28,2012-09-28,9780143039983,978010
2012-11-23,2012-10-23,2012-11-23,9781416507697,20138
2013-12-13,2013-11-13,2013-11-22,9780062936455,754112
2014-02-27,2014-01-27,2014-05-27,9781400201655,764757
2014-08-31,2014-07-31,2014-08-31,9781455595372,748306
2014-09-03,2014-08-03,2014-08-22,9780718039851,723633
2015-08-26,2015-07-26,2015-08-26,9781418583859,496597
2015-11-09,2015-10-09,2015-10-19,9780307953704,509786
2016-03-29,2016-02-29,2016-03-29,9780830842186,325180
2017-03-05,2017-02-05,2017-02-15,9780785247937,538565
2018-01-01,2017-12-01,2017-12-11,9780061947438,423543
2018-02-10,2018-01-10,2018-01-11,9780830836215,965878
2018-05-23,2018-04-23,2018-04-24,9780310295815,387223
2018-08-07,2018-07-03,2018-07-04,9781524796280,583891
2005-07-26,2005-06-26,2005-06-27,9780553103540,531471
2005-09-09,2005-08-12,2005-08-18,9780553108033,451922
2006-01-20,2005-12-20,2005-12-22,9780553106633,137909
2006-03-14,2006-02-14,2006-02-16,9780553801507,978010
2006-04-22,2006-03-22,2006-03-23,9780553801477,99562
2006-11-15,2006-10-15,2006-10-17,9780547928227,274724
2006-12-19,2006-11-19,2006-11-20,9780547928210,866727
2007-04-18,2007-03-18,2007-03-28,9780547928203,729956
2007-06-28,2007-05-28,2007-05-30,9780547928197,723870
2008-01-31,2007-12-31,2008-01-31,9780765367297,849390
2008-06-25,2008-05-25,2008-05-26,9780765367303,267455
2008-06-27,2008-05-27,2008-05-28,9780765367310,263971
2009-02-21,2009-01-21,2009-01-22,9780718039851,590628
2010-04-15,2010-03-16,2010-03-17,9781418583859,495336
2010-07-04,2010-06-04,2010-06-05,9780307953704,318961
2011-08-11,2011-07-11,2011-07-12,9780830842186,11374
2011-11-17,2011-10-17,2011-10-19,9780785247937,267455
2014-09-19,2014-08-19,2014-08-20,9780061947438,263971
2014-10-29,2014-09-29,2014-10-29,9780830836215,590628
2016-07-26,2016-06-26,2016-06-27,9780310295815,267455
2016-10-16,2016-09-16,2016-09-17,9781524796280,263971
2017-01-02,2016-12-02,2016-12-03,9780553103540,590628
2017-02-27,2017-01-30,2017-01-31,9780553108033,671570
2017-04-30,2017-03-31,2017-04-21,9780553106633,602804
2019-02-23,2019-01-23,2019-01-24,9780553801507,888518
2006-03-12,2006-02-12,2006-02-13,9781435159570,580521
2006-06-08,2006-05-08,2006-05-19,9782378984113,119705
2008-06-03,2008-05-03,2008-05-15,9780143039983,718743
2008-11-04,2008-10-04,2008-10-23,9781416507697,42970
2009-01-20,2008-12-20,2008-12-31,9780062936455,146030
2009-12-14,2009-11-14,2009-11-18,9781435159570,543131
2011-04-03,2011-03-03,2011-03-24,9782378984113,869573
2011-06-05,2011-05-05,2011-05-18,9780143039983,307128
2011-09-09,2011-08-09,2011-08-18,9781416507697,469665
2012-06-24,2012-05-24,2012-06-01,9780062936455,489895
2013-02-25,2013-01-25,2013-01-30,9780156031646,888518
2013-07-02,2013-06-02,2013-06-27,9780143038382,580521
2013-11-06,2013-10-06,2013-10-31,9780553276862,119705
2013-11-08,2013-10-08,2013-10-31,9780143119531,718743
2014-11-10,2014-10-10,2014-10-24,9780765383532,489895
2015-03-04,2015-02-04,2015-02-24,9780143123293,489895
2015-03-11,2015-02-11,2015-02-23,9780553276886,965878
2015-10-10,2015-09-10,2015-09-28,9781435110663,387223
2016-02-16,2016-01-16,2016-01-28,9780345338549,583891
2016-09-06,2016-08-06,2016-08-29,9781101872765,531471
2016-10-11,2016-09-11,2016-09-25,9780143115526,451922
2017-02-28,2017-01-29,2017-01-21,9781590204597,137909
2017-07-06,2017-06-06,2017-06-30,9780143120988,978010
2018-07-06,2018-06-06,2018-06-27,9780312366124,99562
2018-11-25,2018-10-25,2018-10-30,9780143126720,274724
2005-09-05,2005-08-05,NULL,9780143109129,866727
2006-06-12,2006-05-12,NULL,9781400208012,729956
2006-10-09,2006-09-09,NULL,9781400201655,723870
2007-02-26,2007-01-26,NULL,9781455595372,849390
2007-10-27,2007-09-27,NULL,9780718039851,869573
2008-01-12,2007-12-12,NULL,9781418583859,307128
2008-11-04,2008-10-04,NULL,9780307953704,469665
2009-03-08,2009-02-08,NULL,9780830842186,489895
2009-06-13,2009-05-13,NULL,9780785247937,888518
2010-04-23,2010-03-23,NULL,9780061947438,580521
2011-06-09,2011-05-09,NULL,9780830836215,119705
2011-07-17,2011-06-17,NULL,9780310295815,718743
2012-05-05,2012-04-05,NULL,9781524796280,489895
2013-05-02,2013-04-02,NULL,9780553103540,489895
2013-06-22,2013-05-22,NULL,9780553108033,965878
2013-12-12,2013-11-12,NULL,9780553106633,387223
2014-02-02,2014-01-02,NULL,9780553801507,583891
2014-07-01,2014-06-01,NULL,9780553801477,531471
2014-09-11,2014-08-11,NULL,9780547928227,445340
2015-02-28,2015-01-29,NULL,9780547928210,60945
2016-09-24,2016-08-24,NULL,9780547928203,210545
2016-09-28,2016-08-28,NULL,9780547928197,816353
2017-10-16,2017-09-16,NULL,9780765367297,587278
2018-04-11,2018-03-11,NULL,9781538715772,602620
2018-10-21,2018-09-21,NULL,9780373777037,358320
